application_id,click_id,click_id_type,click_id_source,bucket,bucket_detail,category,subcategory,attribution,approved,funded,production_value,lifetime_value,product_family,report_completion_timestamp
134209,0AAAAADJeyxXLzrc5h7LnWo45bEhVHbH5O,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: campaign id: 23091630396,0,0,0.0,0.0,Vehicle Loan,2026-02-06 16:03:34.000
33286,0AAAAADJeyxXLzrc5h7LnWo45bEhVHbH5O,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/checkingaccounts/2020/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-06 17:30:00.000
33290,15db533661e51396b6783ab04e10a3e7,msclkid,msclkid,A_wrong_click_id_type,msclkid,Paid,Bing,utm: bing/cpc/sayyes/first community credit union/branded terms,0,0,0.0,0.0,Xpress App,2026-02-06 19:12:00.000
134238,8098626c4d8e1bac17f40bea0af4730f,msclkid,msclkid,A_wrong_click_id_type,msclkid,Paid,Bing,utm: bing/cpc/checkingaccounts/first community credit union beloit wi/2020,0,0,0.0,0.0,Personal Loan,2026-02-06 20:04:38.000
33305,0AAAAADJeyxVyHgeyKAtnkx0Bnt_1Pmw0-,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-07 00:42:00.000
33307,0AAAAADJeyxU4qjaq-qOqW9ciXvBLY_SyZ,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,1,0,0.0,0.0,Xpress App,2026-02-07 01:57:00.000
33310,0AAAAADJeyxU4qjaq-qOqW9ciXvBLY_SyZ,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-07 02:38:00.000
134281,0AAAAADJeyxU4qjaq-qOqW9ciXvBLY_SyZ,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/checkingaccounts/2020/campaign id: 23091630396,0,0,0.0,0.0,Personal Loan,2026-02-07 05:47:35.000
134285,0AAAAADJeyxURQkjtrL0AOTL-3wOflliqN,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/checkingaccounts/2020/campaign id: 23091630396,0,0,0.0,0.0,Personal Loan,2026-02-07 15:19:05.000
33315,0AAAAADJeyxU4qjaq-qOqW9ciXvBLY_SyZ,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-07 20:45:00.000
33317,935e9829c9861570308ef1ae6d0e730b,msclkid,msclkid,A_wrong_click_id_type,msclkid,Paid,Bing,utm: bing/cpc/checkingaccounts/credit unions near me/2020,0,0,0.0,0.0,Xpress App,2026-02-07 21:04:00.000
33318,Cj0KCQiA4pvMBhDYARIsAGfgwvzOMZKmEKNmB0k9MREOgIrKgr2592guihlnJeT5F2dE5r_3O0AaoygaAulGEALw_wcB,gclid,gclid,B_gclid_unmatched,standard GCLID not in click_view data,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-07 23:05:00.000
33319,0AAAAADJeyxWm5cTYdKLXJ5Zpph0lFBji_,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-08 02:57:00.000
33322,Cj0KCQiAhaHMBhD2ARIsAPAU_D4mc11CuX9ckR8djZITuXCktjmp1VfvS_jsa6LySNdmiLGVruETG0AaArBNEALw_wcB,gclid,gclid,B_gclid_unmatched,standard GCLID not in click_view data,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,1,0,0.0,0.0,Xpress App,2026-02-08 16:58:00.000
33325,Cj0KCQiAhaHMBhD2ARIsAPAU_D4B11hLd9KJ3dZpfDlRnYTU1XB4QEVJn8cyK65XgTWeZKWQctbIhHkaAntEEALw_wcB,gclid,gclid,B_gclid_unmatched,standard GCLID not in click_view data,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-08 23:18:00.000
33328,0AAAAADJeyxWHEPYADKXE_eQUZiFzP_BQG,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/checkingaccounts/2020/campaign id: 23091630396,1,1,50.0,1500.0,Xpress App,2026-02-09 07:05:00.000
134356,0AAAAADJeyxWp59gWENYYpPiN9wMvtmEpw,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,0,0,0.0,0.0,Vehicle Loan,2026-02-09 15:16:23.000
134359,0AAAAADJeyxWHEPYADKXE_eQUZiFzP_BQG,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,0,0,0.0,0.0,Vehicle Loan,2026-02-09 15:40:07.000
134376,Cj0KCQiA4pvMBhDYARIsAGfgwvw-czIivAtdxqAx8Gavz7Rap4A_zHcG_VxXpZ8imGclDccrl8GoSVQaAl2FEALw_wcB,gclid,gclid,B_gclid_unmatched,standard GCLID not in click_view data,Paid,Google Ads,utm: campaign id: 23091630396,0,0,0.0,0.0,Personal Loan,2026-02-09 16:35:06.000
33342,0AAAAADJeyxWHEPYADKXE_eQUZiFzP_BQG,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-09 20:26:00.000
134418,0AAAAADJeyxWHEPYADKXE_eQUZiFzP_BQG,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/checkingaccounts/2020/campaign id: 23091630396,0,0,0.0,0.0,Personal Loan,2026-02-09 20:30:17.000
33346,CjwKCAiAqKbMBhBmEiwAZ3UboHpjCc5bhRb2iMn2Yh8kFfVpLIGG2SlXCSbC94alnIYp0CIcfNp_2BoCBeUQAvD_BwE,gclid,gclid,B_gclid_unmatched,standard GCLID not in click_view data,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-09 21:14:00.000
134461,CjwKCAiAqKbMBhBmEiwAZ3UboOA7Pkc3tEF9hvhdig0SN4xwjRu5XKHKWg6ZLhn4oSceh38EaVo7FRoCVxoQAvD_BwE,gclid,gclid,B_gclid_unmatched,standard GCLID not in click_view data,Paid,Google Ads,utm: google/cpc/checkingaccounts/2020/campaign id: 23091630396,0,0,0.0,0.0,Personal Loan,2026-02-10 00:44:54.000
33353,0AAAAADJeyxUkq1fAQbOMqg8enX7U67YFD,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/checkingaccounts/2020/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-10 01:42:00.000
134463,CjwKCAiAqKbMBhBmEiwAZ3UboIgntpG2qXG_zPXF52hwi9rzN_VSjSjqBAEj-P-8Sy--CrqfoZS-nxoC8vwQAvD_BwE,gclid,gclid,B_gclid_unmatched,standard GCLID not in click_view data,Paid,Google Ads,utm: campaign id: 23091630396,0,0,0.0,0.0,Personal Loan,2026-02-10 01:54:38.000
134487,CjwKCAiAv5bMBhAIEiwAqP9GuOFjHkn7V1qEhAuaij_dKcHFLKYw6-qNHcMFsaUoROsAHYfnV3K_GBoCMfIQAvD_BwE,gclid,gclid,B_gclid_unmatched,standard GCLID not in click_view data,Paid,Google Ads,utm: campaign id: 23091630396,0,0,0.0,0.0,Vehicle Loan,2026-02-10 18:12:52.000
33369,0AAAAADJeyxUkq1fAQbOMqg8enX7U67YFD,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/checkingaccounts/2020/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-10 22:03:00.000
33372,0AAAAADJeyxUYAVGHa6y06BKeR6_42-v-9,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: adwords/ppc/imm_firstccu checking - lead gen/open a bank account/branded terms/23091630396/778796970417/open a bank account/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-10 22:15:00.000
33375,0AAAAADJeyxUkq1fAQbOMqg8enX7U67YFD,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: adwords/ppc/imm_firstccu checking - lead gen/open checking account online/2020/23091630396/778047535909/open checking account online/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-10 23:35:00.000
33378,0AAAAADJeyxXsInSb2FsSdj8gIHQofWzAC,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: adwords/ppc/imm_firstccu checking - lead gen/bank no credit check/2020/23091630396/782329848660/bank no credit check/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-11 02:06:00.000
33381,0AAAAADJeyxX8Vu2Vzk4xSckalj0hKDN6S,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: adwords/ppc/imm_firstccu checking - lead gen/banks i can apply for online/2020/23091630396/782329848660/banks i can apply for online/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-11 04:00:00.000
33386,Cj0KCQiA7rDMBhCjARIsAGDBuEBfj7XpBEcPPVfY6pdS1EG243Ohy6ZJy0Ivg39dZEX8frqosqUH_hMaAod_EALw_wcB,gclid,gclid,B_gclid_unmatched,standard GCLID not in click_view data,Paid,Google Ads,utm: adwords/ppc/imm_firstccu checking - lead gen/credit near me/2020/23091630396/782361855820/credit near me/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-11 17:33:00.000
33400,0AAAAADJeyxUfHZrVj5GtzL9sTahqWVAhl,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/checkingaccounts/2020/campaign id: 23091630396,1,0,0.0,0.0,Xpress App,2026-02-12 00:11:00.000
134593,0AAAAADJeyxU4qjaq-qOqW9ciXvBLY_SyZ,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,0,0,0.0,0.0,Vehicle Loan,2026-02-12 01:39:42.000
33424,0AAAAADJeyxWiu6QABW2GJGvm3ieyqYYLx,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: adwords/ppc/imm_firstccu checking - lead gen/bank no credit check/2020/23091630396/782329848660/bank no credit check/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-13 14:48:00.000
33436,0AAAAADJeyxV3mXqo-OvDg4btIPJUQBZC2,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: adwords/ppc/imm_firstccu checking - lead gen/23091630396/778796970417/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-13 19:18:00.000
134695,0AAAAADJeyxWiu6QABW2GJGvm3ieyqYYLx,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: adwords/ppc/imm_firstccu checking - lead gen/banks i can apply for online/2020/23091630396/782329848660/banks i can apply for online/campaign id: 23091630396,0,0,0.0,0.0,Vehicle Loan,2026-02-13 20:10:22.000
33443,0AAAAADJeyxXevi462r_WzsHMk8GNENmZt,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: adwords/ppc/imm_firstccu checking - lead gen/online banking no credit check/2020/23091630396/782329848660/online banking no credit check/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-13 22:55:00.000
134715,CjwKCAiAtLvMBhB_EiwA1u6_PhyMqbOrDniOqgSQF_KxLiTmfFr5BOlAssRSQ4onNRj2C2hqkwJvuRoC4TcQAvD_BwE,gclid,gclid,B_gclid_unmatched,standard GCLID not in click_view data,Paid,Google Ads,utm: adwords/ppc/imm_firstccu checking - lead gen/first community credit union/branded terms/23091630396/778137366602/first community credit union/campaign id: 23091630396,0,0,0.0,0.0,Personal Loan,2026-02-13 23:02:31.000
33450,0AAAAADJeyxVQyn553XiDb0LIHdFxidPiy,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: adwords/ppc/imm_firstccu checking - lead gen/credit union near me/2020/23091630396/782361855820/credit union near me/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-14 16:54:00.000
33455,0AAAAADJeyxU9NIqRX4BMMx31fxYst3kVN,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: adwords/ppc/imm_firstccu checking - lead gen/good bank accounts/branded terms/23091630396/778137366602/good bank accounts/campaign id: 23091630396,1,1,50.0,1500.0,Xpress App,2026-02-15 18:50:00.000
134788,0AAAAADJeyxWp59gWENYYpPiN9wMvtmEpw,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,0,0,0.0,0.0,Home Equity Loan,2026-02-16 14:58:52.000
33522,0AAAAADJeyxU1UhjULBREr1aMaODTkJtqI,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: adwords/ppc/imm_firstccu checking - lead gen/first community credit union/branded terms/23091630396/778137366602/first community credit union/campaign id: 23091630396,1,0,0.0,0.0,Xpress App,2026-02-20 00:30:00.000
33524,84406733c8cb193b0a680eaba573397a,msclkid,msclkid,A_wrong_click_id_type,msclkid,Paid,Bing,utm: bing/ppc/imm_firstccu checking - lead gen/online bank account credit union/generic checking terms ​/23091630396/online bank account credit union,0,0,0.0,0.0,Xpress App,2026-02-20 14:32:00.000
33536,0AAAAADJeyxUR1EjPvsNVe3tFy25Q64bUE,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: adwords/ppc/imm_firstccu checking - lead gen/first community credit union beloit/branded terms/23091630396/778796970417/first community credit union beloit/campaign id: 23091630396,1,0,0.0,0.0,Xpress App,2026-02-20 19:06:00.000
33542,0AAAAADJeyxWa_-fSnHxLhK_TW-jGNP1Zj,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: adwords/ppc/imm_firstccu checking - lead gen/bank account credit card/2020/23091630396/778047535909/bank account credit card/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-20 19:57:00.000
33556,0AAAAADJeyxVPguAJSSJmizKV_ZdC9mc1V,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: adwords/ppc/imm_firstccu checking - lead gen/first community credit union/23091630396/778137366602/first community credit union/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-22 19:24:00.000
